RegionName,State,City,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22
78724,TX,Austin,371641.74,381806.65,393216.04,403622.25,411331.36,416540.36,417392.08,414100.23,407958.99,401591.44,395709.39,388749.66
78729,TX,Austin,487645.23,497172.33,508555.32,519211.75,527941.59,532875.01,531905.79,527052.59,520167.13,514145.10,507955.76,500996.10
78733,TX,Austin,1178402.34,1207222.54,1245478.28,1283010.24,1313325.75,1326954.50,1324097.68,1308750.58,1284460.27,1261612.37,1244879.49,1231585.35
78741,TX,Austin,457103.57,465829.52,476951.37,488725.22,499506.46,506264.95,507912.11,504129.92,497817.02,491751.39,486446.43,479575.41
78744,TX,Austin,387121.11,395752.39,405666.10,415029.68,423565.39,429305.30,430692.62,427638.24,421851.61,415953.93,410112.76,403502.80
