RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,37,654635.0108,656272.4861,656748.166,657254.8322,655913.067,652839.0486,653088.9451,659019.8579,670809.6362,684356.0116,699050.546,713115.6636,722043.581,727317.0789,729668.4593,735880.1542,744950.563,756240.1242,768900.5958,779404.9806,788503.3179,795807.2809,803809.1843,812621.0034,822195.7049,832952.0763,844851.4071,855790.5918,864899.7823,870319.1448,872897.9994,871381.4982,867736.9104,863865.3246,861293.2642,857939.7986,850436.8955,840281.3325,831880.1257,827978.1634,830147.3819,837045.1938
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,31,231478.3935,233559.5901,236033.4145,237556.9384,237933.1856,237320.5371,236542.7757,236609.5463,238032.8802,240412.5528,243272.3164,246147.5211,249146.1381,252716.2842,256498.3758,259904.5696,262551.6291,264846.3978,267674.0269,270335.8956,272228.6802,273369.2231,274581.6966,276499.7151,278849.9997,282016.0985,285866.5514,289764.0568,291873.1881,292744.1514,292082.2365,290707.7852,288546.4551,286728.4107,285916.1873,285143.0007,285780.5687,286546.268,287894.5431,288663.1432,289792.7529,291819.7113
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,206378.7418,207241.5268,208059.9784,208618.0773,208729.421,208791.8256,209208.3162,210261.558,211850.6471,213896.6096,216498.5023,219113.3306,221788.3699,224416.7758,227410.6276,230613.8053,234190.8164,237997.7455,241381.9594,243950.1337,245820.1102,247984.9957,250829.6978,254136.4956,258559.7378,263726.5053,269405.0174,274485.3814,278869.4413,282718.0805,285442.1311,286670.4427,286701.011,286294.7999,285812.9401,284645.4232,282911.0668,281335.4203,280740.8785,280667.7615,281014.4709,281670.0068
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",4,13,315891.4348,319486.7356,323688.4857,327474.49,330065.7908,331693.8342,333209.5275,335853.4787,339875.5192,344650.8794,349889.1095,355282.9672,360928.2527,366849.8737,373229.2954,380117.3683,387734.2814,396107.2095,404486.1045,412326.3929,419378.2163,426046.8715,432626.5339,438847.6822,445603.5249,453087.1142,461861.8306,471231.6316,480507.7501,488318.5219,492362.5942,491889.9197,487380.8944,481484.8252,475073.4621,468250.984,462741.4597,458722.4843,457157.9002,456140.7418,456211.1197,457583.1131
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",6,73,624966.637,629441.6481,634365.1597,639450.5307,642068.8796,642714.5472,643041.9855,646211.3544,653121.2253,662427.2111,674140.1873,686395.4675,698426.4697,709747.124,721474.6337,734965.0895,750310.8126,765676.2066,778487.797,786002.0927,789661.9213,792896.4768,798918.3484,808002.9155,823543.342,844573.4606,870263.2882,893306.9095,910543.834,920123.9269,920622.342,913150.5766,900807.6455,889598.8318,881023.328,873608.6885,866443.4541,861734.5454,861309.8244,864395.7695,870271.3882,878767.7173
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,59,758689.5416,761055.2676,763897.0039,767223.0028,768263.4576,766811.2348,765865.564,769406.8893,778114.8056,789797.9272,803576.6948,817208.2709,828264.7656,836530.5906,843185.1983,852881.374,865107.4,879436.8396,891411.3967,900511.9521,907142.9925,916259.1133,928560.1165,944191.8921,963896.7799,987245.9281,1013392.296,1037265.375,1055504.589,1065456.936,1065832.7,1060387.64,1052426.986,1047601.721,1044037.494,1039242.932,1029346.508,1019201.448,1014152.923,1016182.648,1023806.836,1034917.193
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,47,702096.4373,700989.1995,699471.782,699119.251,700308.3245,701288.6022,701537.4712,701210.5151,702950.3627,705270.3169,708402.3501,711055.44,712951.1028,716571.528,721836.8109,727781.335,734330.02,738694.8168,744751.8437,750221.1938,756424.8028,763894.0113,772001.1627,778626.409,783145.7821,787487.2659,794885.0365,801835.4478,807888.7891,813774.7001,817150.9262,817239.981,811984.7163,808057.788,804614.57,800206.5984,795363.8412,793229.0101,796166.4644,801920.9744,809125.6327,816424.6573
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,86,313872.1136,316329.4006,318526.2433,319926.0158,320187.133,319905.9769,319919.0332,321274.9949,323841.5702,327249.7378,331376.507,335702.8799,339911.7245,343944.1856,348067.7753,352529.0762,357793.7664,363755.5931,370199.9473,376216.2964,381662.1166,386641.3816,392093.0165,398157.5809,406148.7122,415457.5992,426316.372,437208.5059,447267.5893,456236.9662,463334.7485,468384.6795,471107.8577,472984.6801,474613.3985,475246.5158,475362.0238,475539.2011,476945.4198,479174.5542,482437.9113,487969.7746
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,226842.8422,228689.9546,230368.5918,231172.8563,231187.3637,230901.3763,231161.1339,232382.6776,234544.6348,237231.554,240548.7028,243963.1866,247838.538,251750.6364,255633.5316,259165.7981,262815.9267,266690.9161,269985.4111,272190.5223,273680.8332,275633.3322,278593.2882,282352.92,288304.85,295874.5957,304203.6292,311415.331,316973.7659,321284.2486,323552.2202,323983.2716,323163.1408,322307.0608,321336.5636,319643.7145,317500.448,315737.517,315111.035,314916.7562,315533.1559,316649.6623
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",6,65,410582.6693,412607.6838,414925.2955,416540.0303,417184.5438,417108.197,417964.4188,420660.696,425252.6774,431000.4524,437953.3312,445697.0689,453366.7329,460751.1965,468157.4044,476393.8255,485370.3912,494568.4844,503613.6125,511827.8995,518672.0987,524637.6899,530626.214,537473.2212,546004.6524,556229.4597,568448.6395,580915.7382,592069.3084,600152.293,603620.4206,602365.5553,597771.5345,593122.1826,588829.7691,584289.8307,578821.7102,574568.1936,572835.87,573071.6663,574597.2506,577170.7997
