County Name,State,Metro,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22
Travis County,TX,"Austin-Round Rock-Georgetown, TX",436552.8788,446421.4051,457875.4995,471973.8428,488228.703,504310.9044,515930.0798,521784.5574,523047.6589,523759.3139,526392.5733,531572.3766,541088.6297,553673.2461,569823.8473,585724.825,599291.9096,607264.6187,607827.7831,602717.9176,594274.9308,586305.8113,578777.6838,570721.4868
Williamson County,TX,"Austin-Round Rock-Georgetown, TX",361585.5243,368822.679,377712.2904,388716.1068,402092.3518,415289.9965,425375.9195,431629.4719,434579.5432,437204.092,440826.9784,446206.2881,454176.7792,464276.5477,476564.6104,489009.3206,499409.4834,505448.3923,505208.6748,500339.0285,492831.8333,485452.8285,478004.7077,470347.3179
